Data Description:
,YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE,GRADES_PK_G,GRADES_KG_G,GRADES_4_G,GRADES_8_G,GRADES_12_G,GRADES_1_8_G,GRADES_9_12_G,GRADES_ALL_G,AVG_MATH_4_SCORE,AVG_MATH_8_SCORE,AVG_READING_4_SCORE,AVG_READING_8_SCORE
count,1492.0,1229.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1229.0,1280.0,1319.0,1360.0,1361.0,1361.0,1361.0,1361.0,1361.0,1319.0,536.0,532.0,533.0,498.0
mean,2004.4336461126006,915930.820992677,9092081.85859375,766372.3359375,4216552.94765625,4109156.56875,9196680.86875,4762966.37421875,2680330.67578125,429204.6167615948,902769.29453125,17601.614101592117,63746.76102941176,64538.92725936811,64271.05731080088,54268.92432035268,519214.03600293904,247071.35194709772,802441.5125094769,234.76829289706959,278.4147114511402,218.8661539741663,263.66113199437666
std,7.393982678901836,1065280.4240008178,11745187.39750724,1145241.5879188366,5543071.995647953,5482970.607875315,11978126.895704186,6293003.724990936,3353348.5591162215,534069.3186933647,1327561.8152063373,30016.16644696505,80205.13814281001,80293.38762519155,78910.54577607226,67889.27623023825,643638.4262309681,307705.62911751104,970703.0749573637,10.221510625664289,10.159722018528429,7.769616426232636,6.803725024986959
min,1992.0,43866.0,465650.0,31020.0,0.0,22093.0,481665.0,265549.0,139963.0,11541.0,12708.0,0.0,544.0,633.0,437.0,311.0,4878.0,1808.0,7254.0,187.134669958413,232.831509532896,178.557611651728,236.37910176331403
25%,1998.0,258314.0,2186305.25,189354.0,1153097.25,715834.5,2165404.5,1168032.0,635790.0,102831.0,181564.5,2021.0,11745.0,13739.0,13342.0,10919.0,110626.0,51471.0,181065.0,229.69435241263625,272.7615982902783,214.663401291545,259.5331712108278
50%,2004.0,648313.0,5079546.0,403376.5,2537073.5,2055780.5,5234505.5,2657452.0,1525405.5,271596.0,510259.5,8106.0,41597.5,43272.0,43339.0,36735.0,345775.0,164260.0,550342.0,237.23855244445502,280.6188034905995,220.41603448313703,265.01091228450105
75%,2011.0,1014528.0,10859847.75,828966.0,5080939.25,4768680.0,10745191.0,5568028.0,3229650.75,518600.0,966851.5,22295.0,73865.25,75481.0,76566.0,67460.0,611905.0,290502.0,928275.5,241.9954861630315,285.347428094796,223.999336825378,268.190120654764
max,2017.0,6307022.0,89217262.0,9990221.0,50904567.0,36105265.0,85320133.0,43964520.0,26058021.0,3995951.0,10223657.0,250911.0,530531.0,493415.0,500143.0,498403.0,3929869.0,2013687.0,5944746.0,253.420961133202,300.568235011147,236.773866580369,280.499129965249

Null Counts
PRIMARY_KEY: 0
STATE: 0
YEAR: 0
ENROLL: 263
TOTAL_REVENUE: 212
FEDERAL_REVENUE: 212
STATE_REVENUE: 212
LOCAL_REVENUE: 212
TOTAL_EXPENDITURE: 212
INSTRUCTION_EXPENDITURE: 212
SUPPORT_SERVICES_EXPENDITURE: 212
OTHER_EXPENDITURE: 263
CAPITAL_OUTLAY_EXPENDITURE: 212
GRADES_PK_G: 173
GRADES_KG_G: 132
GRADES_4_G: 131
GRADES_8_G: 131
GRADES_12_G: 131
GRADES_1_8_G: 131
GRADES_9_12_G: 131
GRADES_ALL_G: 173
AVG_MATH_4_SCORE: 956
AVG_MATH_8_SCORE: 960
AVG_READING_4_SCORE: 959
AVG_READING_8_SCORE: 994

Nulls in Total Revenue
,PRIMARY_KEY,STATE,YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE,GRADES_PK_G,GRADES_KG_G,GRADES_4_G,GRADES_8_G,GRADES_12_G,GRADES_1_8_G,GRADES_9_12_G,GRADES_ALL_G,AVG_MATH_4_SCORE,AVG_MATH_8_SCORE,AVG_READING_4_SCORE,AVG_READING_8_SCORE
1436,2009_DOD_-_OVERSEAS,DOD_-_OVERSEAS,2009,,,,,,,,,,,,,,,,,,,,,,
1310,2010_PUERTO_RICO,PUERTO_RICO,2010,,,,,,,,,,,866.0,30968.0,36919.0,37481.0,29640.0,292681.0,134116.0,427663.0,,,,
1309,2010_NORTHERN_MARIANAS,NORTHERN_MARIANAS,2010,,,,,,,,,,,462.0,604.0,841.0,816.0,716.0,6569.0,3417.0,10448.0,,,,
1308,2010_GUAM,GUAM,2010,,,,,,,,,,,68.0,2102.0,2412.0,2771.0,1844.0,19391.0,10057.0,29516.0,,,,
1307,2010_DOD_(OVERSEAS_AND_DOMESTIC_COMBINED),DOD_(OVERSEAS_AND_DOMESTIC_COMBINED),2010,,,,,,,,,,,,,,,,,,,,,,
1311,2010_VIRGIN_ISLANDS,VIRGIN_ISLANDS,2010,,,,,,,,,,,,1063.0,1243.0,1159.0,1082.0,9455.0,4977.0,,,,,
1306,2010_AMERICAN_SAMOA,AMERICAN_SAMOA,2010,,,,,,,,,,,,,,,,,,,,,,
1363,2011_AMERICAN_SAMOA,AMERICAN_SAMOA,2011,,,,,,,,,,,,,,,,,,,,,,
1364,2011_BI,BI,2011,,,,,,,,,,,,,,,,,,,,,,
1365,2011_DD,DD,2011,,,,,,,,,,,,,,,,,,,,,,
1367,2011_NORTHERN_MARIANA_ISLANDS,NORTHERN_MARIANA_ISLANDS,2011,,,,,,,,,,,462.0,608.0,814.0,841.0,654.0,6589.0,3308.0,10359.0,,,,
1368,2011_PUERTO_RICO,PUERTO_RICO,2011,,,,,,,,,,,1060.0,29287.0,33638.0,36488.0,28278.0,278581.0,128816.0,408457.0,,,,
1369,2011_VIRGIN_ISLANDS,VIRGIN_ISLANDS,2011,,,,,,,,,,,,1114.0,1251.0,1126.0,1118.0,9462.0,5135.0,,,,,
1366,2011_GUAM,GUAM,2011,,,,,,,,,,,13.0,2216.0,2334.0,2472.0,1561.0,18994.0,10020.0,29027.0,,,,
1293,2012_PUERTO_RICO,PUERTO_RICO,2012,,,,,,,,,,,1050.0,27887.0,31345.0,35547.0,27169.0,266387.0,124638.0,392075.0,,,,
1289,2012_BI,BI,2012,,,,,,,,,,,,,,,,,,,,,,
1290,2012_DD,DD,2012,,,,,,,,,,,,,,,,,,,,,,
1291,2012_GUAM,GUAM,2012,,,,,,,,,,,13.0,2207.0,2325.0,2472.0,1561.0,18946.0,10020.0,28979.0,,,,
1292,2012_NORTHERN_MARIANA_ISLANDS,NORTHERN_MARIANA_ISLANDS,2012,,,,,,,,,,,462.0,582.0,776.0,792.0,630.0,6297.0,3250.0,10009.0,,,,
1294,2012_VIRGIN_ISLANDS,VIRGIN_ISLANDS,2012,,,,,,,,,,,,1052.0,1144.0,1084.0,995.0,9250.0,4890.0,,,,,
1288,2012_AMERICAN_SAMOA,AMERICAN_SAMOA,2012,,,,,,,,,,,,,,,,,,,,,,
1351,2013_AMERICAN_SAMOA,AMERICAN_SAMOA,2013,,,,,,,,,,,,,,,,,,,,,,
1353,2013_DD,DD,2013,,,,,,,,,,,,,,,,,,,,,,
1354,2013_GUAM,GUAM,2013,,,,,,,,,,,828.0,3113.0,2337.0,2364.0,1766.0,19360.0,10113.0,30301.0,,,,
1355,2013_NORTHERN_MARIANA_ISLANDS,NORTHERN_MARIANA_ISLANDS,2013,,,,,,,,,,,462.0,544.0,750.0,814.0,656.0,6265.0,3298.0,10025.0,,,,
1356,2013_PUERTO_RICO,PUERTO_RICO,2013,,,,,,,,,,,1410.0,27752.0,31076.0,34365.0,27374.0,256029.0,123860.0,381299.0,,,,
1357,2013_VIRGIN_ISLANDS,VIRGIN_ISLANDS,2013,,,,,,,,,,,,1167.0,1150.0,1071.0,1012.0,9116.0,4670.0,,,,,
1352,2013_BI,BI,2013,,,,,,,,,,,,,,,,,,,,,,
1299,2014_VIRGIN_ISLANDS,VIRGIN_ISLANDS,2014,,,,,,,,,,,,1042.0,1077.0,1015.0,961.0,8682.0,4517.0,,,,,
1298,2014_PUERTO_RICO,PUERTO_RICO,2014,,,,,,,,,,,1975.0,27439.0,30556.0,32691.0,27054.0,245604.0,121801.0,369380.0,,,,
1295,2014_BUREAU_OF_INDIAN_AFFAIRS,BUREAU_OF_INDIAN_AFFAIRS,2014,,,,,,,,,,,,,,,,,,,,,,
1296,2014_DEPARTMENT_OF_DEFENSE,DEPARTMENT_OF_DEFENSE,2014,,,,,,,,,,,,,,,,,,,,,,
1297,2014_GUAM,GUAM,2014,,,,,,,,,,,524.0,2082.0,2282.0,2312.0,1574.0,18506.0,10032.0,29062.0,,,,
1303,2015_GUAM,GUAM,2015,,,,,,,,,,,514.0,2055.0,2261.0,2238.0,1669.0,18196.0,10056.0,28766.0,,,,
1302,2015_DEPARTMENT_OF_DEFENSE_EDUCATION_ACTIVITY,DEPARTMENT_OF_DEFENSE_EDUCATION_ACTIVITY,2015,,,,,,,,,,,3991.0,7470.0,6645.0,4839.0,2924.0,49894.0,13615.0,67500.0,,,,
1301,2015_BUREAU_OF_INDIAN_EDUCATION,BUREAU_OF_INDIAN_EDUCATION,2015,,,,,,,,,,,,,,,,,,,,,,
1300,2015_AMERICAN_SAMOA,AMERICAN_SAMOA,2015,,,,,,,,,,,,,,,,,,,,,,
1304,2015_PUERTO_RICO,PUERTO_RICO,2015,,,,,,,,,,,2728.0,23228.0,27753.0,29884.0,26700.0,227156.0,113547.0,343431.0,,,,
1305,2015_U.S._VIRGIN_ISLANDS,U.S._VIRGIN_ISLANDS,2015,,,,,,,,,,,,963.0,1100.0,1035.0,914.0,8540.0,4302.0,,,,,
1474,2017_NORTH_CAROLINA,NORTH_CAROLINA,2017,,,,,,,,,,,,,,,,,,,240.951393074866,281.926028447068,223.930906236334,264.15758419309
1476,2017_OHIO,OHIO,2017,,,,,,,,,,,,,,,,,,,240.928372101796,287.714266317975,225.26113810743198,265.08192180549497
1475,2017_NORTH_DAKOTA,NORTH_DAKOTA,2017,,,,,,,,,,,,,,,,,,,244.243515259852,288.172322165675,221.519265852407,262.720476897929
1473,2017_NEW_YORK,NEW_YORK,2017,,,,,,,,,,,,,,,,,,,235.548457260667,281.687999953596,221.884015359739,255.578543060787
1469,2017_NEVADA,NEVADA,2017,,,,,,,,,,,,,,,,,,,231.685162157891,275.36545551406897,214.84169616634603,268.528555260402
1471,2017_NEW_JERSEY,NEW_JERSEY,2017,,,,,,,,,,,,,,,,,,,247.855231175611,291.698552399307,232.943318467524,274.786039733195
1470,2017_NEW_HAMPSHIRE,NEW_HAMPSHIRE,2017,,,,,,,,,,,,,,,,,,,245.319838570829,293.290654433387,228.900649270634,259.806407268129
1477,2017_OKLAHOMA,OKLAHOMA,2017,,,,,,,,,,,,,,,,,,,237.32627022564705,274.688883411113,216.58777517172905,268.450641614295
1468,2017_NEBRASKA,NEBRASKA,2017,,,,,,,,,,,,,,,,,,,245.59067458725,288.405955332178,224.096224936306,267.208219320757
1472,2017_NEW_MEXICO,NEW_MEXICO,2017,,,,,,,,,,,,,,,,,,,229.704281935704,269.374084020303,207.704353543603,275.04455230693
1478,2017_OREGON,OREGON,2017,,,,,,,,,,,,,,,,,,,233.132459994163,282.173028442268,217.53107296386798,261.236933515587
1486,2017_VERMONT,VERMONT,2017,,,,,,,,,,,,,,,,,,,240.89329718948397,287.62338824063,226.445343411035,268.7524196631
1480,2017_RHODE_ISLAND,RHODE_ISLAND,2017,,,,,,,,,,,,,,,,,,,237.554934304512,277.180125645798,223.353442679692,269.55382331575
1481,2017_SOUTH_CAROLINA,SOUTH_CAROLINA,2017,,,,,,,,,,,,,,,,,,,234.043992967064,274.67382111862,213.127835391026,265.767859953914
1482,2017_SOUTH_DAKOTA,SOUTH_DAKOTA,2017,,,,,,,,,,,,,,,,,,,241.58894696354,286.376159534544,221.750122908674,259.75300239808604
1483,2017_TENNESSEE,TENNESSEE,2017,,,,,,,,,,,,,,,,,,,236.692515382765,278.77773546865103,218.95279711768399,267.355726574154
1484,2017_TEXAS,TEXAS,2017,,,,,,,,,,,,,,,,,,,240.94367066802897,282.320510342396,214.87849345961,262.046852903713
1485,2017_UTAH,UTAH,2017,,,,,,,,,,,,,,,,,,,242.48076624653302,286.816559110458,225.159172916822,260.342576542804
1487,2017_VIRGINIA,VIRGINIA,2017,,,,,,,,,,,,,,,,,,,248.041059058675,290.08140742764704,227.598382221255,273.402640307413
1488,2017_WASHINGTON,WASHINGTON,2017,,,,,,,,,,,,,,,,,,,241.70100096535802,289.13125718319196,223.123408781764,267.74477849910403
1489,2017_WEST_VIRGINIA,WEST_VIRGINIA,2017,,,,,,,,,,,,,,,,,,,236.057018907755,273.415853633933,217.31639617381802,271.617022995208
1467,2017_MONTANA,MONTANA,2017,,,,,,,,,,,,,,,,,,,240.72163449861802,285.600436850241,222.326721838733,266.03500691502103
1479,2017_PENNSYLVANIA,PENNSYLVANIA,2017,,,,,,,,,,,,,,,,,,,241.672327208486,286.393832326288,224.924702323396,266.216684155209
1466,2017_MISSOURI,MISSOURI,2017,,,,,,,,,,,,,,,,,,,239.502289164298,280.596021606445,222.68108112812197,256.344701137275
1447,2017_CONNECTICUT,CONNECTICUT,2017,,,,,,,,,,,,,,,,,,,239.237650900737,284.144330330682,228.35531240737004,272.53771145623404
1464,2017_MINNESOTA,MINNESOTA,2017,,,,,,,,,,,,,,,,,,,248.804302567269,293.962375743927,224.538513441395,265.468927541301
1490,2017_WISCONSIN,WISCONSIN,2017,,,,,,,,,,,,,,,,,,,240.389213393097,288.14314431546904,219.612694271246,258.700303604492
1441,2017_ALABAMA,ALABAMA,2017,,,,,,,,,,,,,,,,,,,232.17068774150903,268.312020240893,216.41981353101104,257.686520320925
1442,2017_ALASKA,ALASKA,2017,,,,,,,,,,,,,,,,,,,230.456277558902,277.015571755108,207.03763011579701,257.667496756549
1443,2017_ARIZONA,ARIZONA,2017,,,,,,,,,,,,,,,,,,,234.435788152091,282.248145284054,215.46595194467602,262.957456729335
1444,2017_ARKANSAS,ARKANSAS,2017,,,,,,,,,,,,,,,,,,,233.848143678937,273.75990725281,216.108025728181,259.95579848311
1445,2017_CALIFORNIA,CALIFORNIA,2017,,,,,,,,,,,,,,,,,,,232.262940994562,276.638200063835,215.421814242133,262.520630021396
1446,2017_COLORADO,COLORADO,2017,,,,,,,,,,,,,,,,,,,240.69501661550493,286.247717546748,224.691618694193,270.338688509674
1448,2017_DELAWARE,DELAWARE,2017,,,,,,,,,,,,,,,,,,,236.12756170618698,278.023498869959,221.482217417377,263.089089818878
1449,2017_DISTRICT_OF_COLUMBIA,DISTRICT_OF_COLUMBIA,2017,,,,,,,,,,,,,,,,,,,231.320462145503,265.779770573735,213.38200876623299,246.78775540229
1450,2017_FLORIDA,FLORIDA,2017,,,,,,,,,,,,,,,,,,,246.367695779459,279.120415156315,228.27262205238202,280.499129965249
1451,2017_GEORGIA,GEORGIA,2017,,,,,,,,,,,,,,,,,,,236.383603027145,281.035487532394,219.682925180546,266.553368977303
1452,2017_HAWAII,HAWAII,2017,,,,,,,,,,,,,,,,,,,237.919768737113,277.336845826814,216.364536553619,266.33044082589
1453,2017_IDAHO,IDAHO,2017,,,,,,,,,,,,,,,,,,,239.96751408118092,284.371732938877,222.791065689088,260.982318855375
1454,2017_ILLINOIS,ILLINOIS,2017,,,,,,,,,,,,,,,,,,,238.11894743567402,281.617997668016,220.365898453327,269.673095440861
1455,2017_INDIANA,INDIANA,2017,,,,,,,,,,,,,,,,,,,246.513750055807,287.705639463898,226.417994745998,266.928549776657
1456,2017_IOWA,IOWA,2017,,,,,,,,,,,,,,,,,,,243.107484364402,286.239418158172,221.74726754679,272.023875675737
1457,2017_KANSAS,KANSAS,2017,,,,,,,,,,,,,,,,,,,241.21280456721001,285.283507884924,223.268429173451,267.675678851787
1458,2017_KENTUCKY,KENTUCKY,2017,,,,,,,,,,,,,,,,,,,239.17825740582,277.714161796085,224.08058529007096,267.490027797007
1459,2017_LOUISIANA,LOUISIANA,2017,,,,,,,,,,,,,,,,,,,228.971745398005,266.50676028364103,211.60052787486802,265.133438043566
1460,2017_MAINE,MAINE,2017,,,,,,,,,,,,,,,,,,,239.898994523321,284.00300734202204,221.388602644001,256.751471206395
1461,2017_MARYLAND,MARYLAND,2017,,,,,,,,,,,,,,,,,,,240.601277324157,280.910245611123,225.04933454893998,268.93063240911
1462,2017_MASSACHUSETTS,MASSACHUSETTS,2017,,,,,,,,,,,,,,,,,,,249.10267390992803,297.04222521080004,235.699696767687,267.250532713498
1463,2017_MICHIGAN,MICHIGAN,2017,,,,,,,,,,,,,,,,,,,235.55547254746202,279.50545469933604,217.75324201319302,277.782588599843
1465,2017_MISSISSIPPI,MISSISSIPPI,2017,,,,,,,,,,,,,,,,,,,234.69419302812,270.91490754267,215.203305690064,268.616822331955
1491,2017_WYOMING,WYOMING,2017,,,,,,,,,,,,,,,,,,,247.82061920913398,288.761811740442,226.83121099577002,269.371456395493

{1992: {'AVG_MATH_4_SCORE': 14,
        'AVG_MATH_8_SCORE': 14,
        'AVG_READING_4_SCORE': 16,
        'AVG_READING_8_SCORE': 48,
        'CAPITAL_OUTLAY_EXPENDITURE': 5,
        'ENROLL': 56,
        'FEDERAL_REVENUE': 5,
        'GRADES_12_G': 0,
        'GRADES_1_8_G': 0,
        'GRADES_4_G': 0,
        'GRADES_8_G': 0,
        'GRADES_9_12_G': 0,
        'GRADES_ALL_G': 2,
        'GRADES_KG_G': 0,
        'GRADES_PK_G': 2,
        'INSTRUCTION_EXPENDITURE': 5,
        'LOCAL_REVENUE': 5,
        'OTHER_EXPENDITURE': 56,
        'PRIMARY_KEY': 0,
        'STATE': 0,
        'STATE_REVENUE': 5,
        'SUPPORT_SERVICES_EXPENDITURE': 5,
        'TOTAL_EXPENDITURE': 5,
        'TOTAL_REVENUE': 5,
        'YEAR': 0},
 1993: {'AVG_MATH_4_SCORE': 56,
        'AVG_MATH_8_SCORE': 56,
        'AVG_READING_4_SCORE': 56,
        'AVG_READING_8_SCORE': 56,
        'CAPITAL_OUTLAY_EXPENDITURE': 5,
        'ENROLL': 5,
        'FEDERAL_REVENUE': 5,
        'GRADES_12_G': 0,
        'GRADES_1_8_G': 0,
        'GRADES_4_G': 0,
        'GRADES_8_G': 0,
        'GRADES_9_12_G': 0,
        'GRADES_ALL_G': 2,
        'GRADES_KG_G': 0,
        'GRADES_PK_G': 2,
        'INSTRUCTION_EXPENDITURE': 5,
        'LOCAL_REVENUE': 5,
        'OTHER_EXPENDITURE': 5,
        'PRIMARY_KEY': 0,
        'STATE': 0,
        'STATE_REVENUE': 5,
        'SUPPORT_SERVICES_EXPENDITURE': 5,
        'TOTAL_EXPENDITURE': 5,
        'TOTAL_REVENUE': 5,
        'YEAR': 0},
 1994: {'AVG_MATH_4_SCORE': 56,
        'AVG_MATH_8_SCORE': 56,
        'AVG_READING_4_SCORE': 56,
        'AVG_READING_8_SCORE': 56,
        'CAPITAL_OUTLAY_EXPENDITURE': 5,
        'ENROLL': 5,
        'FEDERAL_REVENUE': 5,
        'GRADES_12_G': 0,
        'GRADES_1_8_G': 0,
        'GRADES_4_G': 0,
        'GRADES_8_G': 0,
        'GRADES_9_12_G': 0,
        'GRADES_ALL_G': 2,
        'GRADES_KG_G': 0,
        'GRADES_PK_G': 2,
        'INSTRUCTION_EXPENDITURE': 5,
        'LOCAL_REVENUE': 5,
        'OTHER_EXPENDITURE': 5,
        'PRIMARY_KEY': 0,
        'STATE': 0,
        'STATE_REVENUE': 5,
        'SUPPORT_SERVICES_EXPENDITURE': 5,
        'TOTAL_EXPENDITURE': 5,
        'TOTAL_REVENUE': 5,
        'YEAR': 0},
 1995: {'AVG_MATH_4_SCORE': 56,
        'AVG_MATH_8_SCORE': 56,
        'AVG_READING_4_SCORE': 56,
        'AVG_READING_8_SCORE': 56,
        'CAPITAL_OUTLAY_EXPENDITURE': 5,
        'ENROLL': 5,
        'FEDERAL_REVENUE': 5,
        'GRADES_12_G': 0,
        'GRADES_1_8_G': 0,
        'GRADES_4_G': 0,
        'GRADES_8_G': 0,
        'GRADES_9_12_G': 0,
        'GRADES_ALL_G': 2,
        'GRADES_KG_G': 0,
        'GRADES_PK_G': 2,
        'INSTRUCTION_EXPENDITURE': 5,
        'LOCAL_REVENUE': 5,
        'OTHER_EXPENDITURE': 5,
        'PRIMARY_KEY': 0,
        'STATE': 0,
        'STATE_REVENUE': 5,
        'SUPPORT_SERVICES_EXPENDITURE': 5,
        'TOTAL_EXPENDITURE': 5,
        'TOTAL_REVENUE': 5,
        'YEAR': 0},
 1996: {'AVG_MATH_4_SCORE': 13,
        'AVG_MATH_8_SCORE': 16,
        'AVG_READING_4_SCORE': 17,
        'AVG_READING_8_SCORE': 19,
        'CAPITAL_OUTLAY_EXPENDITURE': 6,
        'ENROLL': 6,
        'FEDERAL_REVENUE': 6,
        'GRADES_12_G': 0,
        'GRADES_1_8_G': 0,
        'GRADES_4_G': 0,
        'GRADES_8_G': 0,
        'GRADES_9_12_G': 0,
        'GRADES_ALL_G': 2,
        'GRADES_KG_G': 0,
        'GRADES_PK_G': 2,
        'INSTRUCTION_EXPENDITURE': 6,
        'LOCAL_REVENUE': 6,
        'OTHER_EXPENDITURE': 6,
        'PRIMARY_KEY': 0,
        'STATE': 0,
        'STATE_REVENUE': 6,
        'SUPPORT_SERVICES_EXPENDITURE': 6,
        'TOTAL_EXPENDITURE': 6,
        'TOTAL_REVENUE': 6,
        'YEAR': 0},
 1997: {'AVG_MATH_4_SCORE': 57,
        'AVG_MATH_8_SCORE': 57,
        'AVG_READING_4_SCORE': 57,
        'AVG_READING_8_SCORE': 57,
        'CAPITAL_OUTLAY_EXPENDITURE': 6,
        'ENROLL': 6,
        'FEDERAL_REVENUE': 6,
        'GRADES_12_G': 0,
        'GRADES_1_8_G': 0,
        'GRADES_4_G': 0,
        'GRADES_8_G': 0,
        'GRADES_9_12_G': 0,
        'GRADES_ALL_G': 2,
        'GRADES_KG_G': 0,
        'GRADES_PK_G': 2,
        'INSTRUCTION_EXPENDITURE': 6,
        'LOCAL_REVENUE': 6,
        'OTHER_EXPENDITURE': 6,
        'PRIMARY_KEY': 0,
        'STATE': 0,
        'STATE_REVENUE': 6,
        'SUPPORT_SERVICES_EXPENDITURE': 6,
        'TOTAL_EXPENDITURE': 6,
        'TOTAL_REVENUE': 6,
        'YEAR': 0},
 1998: {'AVG_MATH_4_SCORE': 58,
        'AVG_MATH_8_SCORE': 58,
        'AVG_READING_4_SCORE': 58,
        'AVG_READING_8_SCORE': 58,
        'CAPITAL_OUTLAY_EXPENDITURE': 7,
        'ENROLL': 7,
        'FEDERAL_REVENUE': 7,
        'GRADES_12_G': 0,
        'GRADES_1_8_G': 0,
        'GRADES_4_G': 0,
        'GRADES_8_G': 0,
        'GRADES_9_12_G': 0,
        'GRADES_ALL_G': 2,
        'GRADES_KG_G': 0,
        'GRADES_PK_G': 2,
        'INSTRUCTION_EXPENDITURE': 7,
        'LOCAL_REVENUE': 7,
        'OTHER_EXPENDITURE': 7,
        'PRIMARY_KEY': 0,
        'STATE': 0,
        'STATE_REVENUE': 7,
        'SUPPORT_SERVICES_EXPENDITURE': 7,
        'TOTAL_EXPENDITURE': 7,
        'TOTAL_REVENUE': 7,
        'YEAR': 0},
 1999: {'AVG_MATH_4_SCORE': 59,
        'AVG_MATH_8_SCORE': 59,
        'AVG_READING_4_SCORE': 59,
        'AVG_READING_8_SCORE': 59,
        'CAPITAL_OUTLAY_EXPENDITURE': 8,
        'ENROLL': 8,
        'FEDERAL_REVENUE': 8,
        'GRADES_12_G': 1,
        'GRADES_1_8_G': 1,
        'GRADES_4_G': 1,
        'GRADES_8_G': 1,
        'GRADES_9_12_G': 1,
        'GRADES_ALL_G': 3,
        'GRADES_KG_G': 1,
        'GRADES_PK_G': 3,
        'INSTRUCTION_EXPENDITURE': 8,
        'LOCAL_REVENUE': 8,
        'OTHER_EXPENDITURE': 8,
        'PRIMARY_KEY': 0,
        'STATE': 0,
        'STATE_REVENUE': 8,
        'SUPPORT_SERVICES_EXPENDITURE': 8,
        'TOTAL_EXPENDITURE': 8,
        'TOTAL_REVENUE': 8,
        'YEAR': 0},
 2000: {'AVG_MATH_4_SCORE': 18,
        'AVG_MATH_8_SCORE': 19,
        'AVG_READING_4_SCORE': 15,
        'AVG_READING_8_SCORE': 16,
        'CAPITAL_OUTLAY_EXPENDITURE': 8,
        'ENROLL': 8,
        'FEDERAL_REVENUE': 8,
        'GRADES_12_G': 0,
        'GRADES_1_8_G': 0,
        'GRADES_4_G': 0,
        'GRADES_8_G': 0,
        'GRADES_9_12_G': 0,
        'GRADES_ALL_G': 3,
        'GRADES_KG_G': 1,
        'GRADES_PK_G': 3,
        'INSTRUCTION_EXPENDITURE': 8,
        'LOCAL_REVENUE': 8,
        'OTHER_EXPENDITURE': 8,
        'PRIMARY_KEY': 0,
        'STATE': 0,
        'STATE_REVENUE': 8,
        'SUPPORT_SERVICES_EXPENDITURE': 8,
        'TOTAL_EXPENDITURE': 8,
        'TOTAL_REVENUE': 8,
        'YEAR': 0},
 2001: {'AVG_MATH_4_SCORE': 59,
        'AVG_MATH_8_SCORE': 59,
        'AVG_READING_4_SCORE': 59,
        'AVG_READING_8_SCORE': 59,
        'CAPITAL_OUTLAY_EXPENDITURE': 8,
        'ENROLL': 8,
        'FEDERAL_REVENUE': 8,
        'GRADES_12_G': 1,
        'GRADES_1_8_G': 1,
        'GRADES_4_G': 1,
        'GRADES_8_G': 1,
        'GRADES_9_12_G': 1,
        'GRADES_ALL_G': 3,
        'GRADES_KG_G': 1,
        'GRADES_PK_G': 3,
        'INSTRUCTION_EXPENDITURE': 8,
        'LOCAL_REVENUE': 8,
        'OTHER_EXPENDITURE': 8,
        'PRIMARY_KEY': 0,
        'STATE': 0,
        'STATE_REVENUE': 8,
        'SUPPORT_SERVICES_EXPENDITURE': 8,
        'TOTAL_EXPENDITURE': 8,
        'TOTAL_REVENUE': 8,
        'YEAR': 0},
 2002: {'AVG_MATH_4_SCORE': 59,
        'AVG_MATH_8_SCORE': 59,
        'AVG_READING_4_SCORE': 59,
        'AVG_READING_8_SCORE': 59,
        'CAPITAL_OUTLAY_EXPENDITURE': 8,
        'ENROLL': 8,
        'FEDERAL_REVENUE': 8,
        'GRADES_12_G': 1,
        'GRADES_1_8_G': 1,
        'GRADES_4_G': 1,
        'GRADES_8_G': 1,
        'GRADES_9_12_G': 1,
        'GRADES_ALL_G': 3,
        'GRADES_KG_G': 1,
        'GRADES_PK_G': 3,
        'INSTRUCTION_EXPENDITURE': 8,
        'LOCAL_REVENUE': 8,
        'OTHER_EXPENDITURE': 8,
        'PRIMARY_KEY': 0,
        'STATE': 0,
        'STATE_REVENUE': 8,
        'SUPPORT_SERVICES_EXPENDITURE': 8,
        'TOTAL_EXPENDITURE': 8,
        'TOTAL_REVENUE': 8,
        'YEAR': 0},
 2003: {'AVG_MATH_4_SCORE': 8,
        'AVG_MATH_8_SCORE': 8,
        'AVG_READING_4_SCORE': 8,
        'AVG_READING_8_SCORE': 8,
        'CAPITAL_OUTLAY_EXPENDITURE': 8,
        'ENROLL': 8,
        'FEDERAL_REVENUE': 8,
        'GRADES_12_G': 0,
        'GRADES_1_8_G': 0,
        'GRADES_4_G': 0,
        'GRADES_8_G': 0,
        'GRADES_9_12_G': 0,
        'GRADES_ALL_G': 2,
        'GRADES_KG_G': 0,
        'GRADES_PK_G': 2,
        'INSTRUCTION_EXPENDITURE': 8,
        'LOCAL_REVENUE': 8,
